4788007|VI17-1001409-5J9|0|PROTECCIÓN CREDINÓMINA|M|43|GUERRERO|ACAPULCO DE JUÁREZ|ACAPULCO DE JUÁREZ|39480|FALLECIMIENTO|133000|1900.57|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|133000|599.83|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|4635.31|3994.43|861.74|DESEMPLEO INVOLUNTARIO|23176.55|0|0
4787998|VI17-1001405-5J9|0|PROTECCIÓN CREDINÓMINA|M|40|GUERRERO|ACAPULCO DE JUÁREZ|ACAPULCO DE JUÁREZ|39300|FALLECIMIENTO|25000|357.25|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|25000|112.75|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|763.37|657.83|861.74|DESEMPLEO INVOLUNTARIO|3816.85|0|0
4768512|VI17-1001399-5J9|0|PROTECCIÓN CREDINÓMINA|M|49|MORELOS|CUERNAVACA|CUERNAVACA|62100|FALLECIMIENTO|106000|1514.74|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|106000|478.06|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|3300.31|2844.01|861.74|DESEMPLEO INVOLUNTARIO|16501.55|0|0
4768511|VI17-1001398-5J9|0|PROTECCIÓN CREDINÓMINA|F|51|MORELOS|TEMIXCO|TEMIXCO|62588|FALLECIMIENTO|45000|643.05|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|45000|202.95|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|1773.76|1528.52|861.74|DESEMPLEO INVOLUNTARIO|8868.8|0|0
4768510|VI17-1001397-5J9|0|PROTECCIÓN CREDINÓMINA|F|43|MORELOS|JIUTEPEC|JIUTEPEC|62556|FALLECIMIENTO|59525|850.61|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|59525|268.46|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|2346.29|2021.89|861.74|DESEMPLEO INVOLUNTARIO|11731.45|0|0
4768507|VI17-1001394-5J9|0|PROTECCIÓN CREDINÓMINA|M|65|GUERRERO|ACAPULCO DE JUÁREZ|ACAPULCO DE JUÁREZ|39900|FALLECIMIENTO|73000|1043.17|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|73000|329.23|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|2406.73|2073.98|861.74|DESEMPLEO INVOLUNTARIO|12033.65|0|0
4768506|VI17-1001393-5J9|0|PROTECCIÓN CREDINÓMINA|M|66|MORELOS|CUERNAVACA|CUERNAVACA|62037|FALLECIMIENTO|88500|1264.67|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|88500|399.14|4.51
4768505|VI17-1001392-5J9|0|PROTECCIÓN CREDINÓMINA|M|48|GUERRERO|ACAPULCO DE JUÁREZ|ACAPULCO DE JUÁREZ|39422|FALLECIMIENTO|107000|1529.03|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|107000|482.57|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|3267.24|2815.51|861.74|DESEMPLEO INVOLUNTARIO|16336.2|0|0
4768504|VI17-1001391-5J9|0|PROTECCIÓN CREDINÓMINA|F|51|GUERRERO|CHILPANCINGO DE LOS BRAVO|CHILPANCINGO DE LOS BRAVO|39069|FALLECIMIENTO|83000|1186.07|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|83000|374.33|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|2534.4|2183.99|861.74|DESEMPLEO INVOLUNTARIO|12672|0|0
4768500|VI17-1001387-5J9|0|PROTECCIÓN CREDINÓMINA|F|45|GUERRERO|ACAPULCO DE JUÁREZ|ACAPULCO DE JUÁREZ|39300|FALLECIMIENTO|216398.38|3092.33|14.29|PAGO  DE  SUMA  ASEGURADA  POR INVALIDEZ TOTAL Y PERMANENTE|216398.38|975.96|4.51|DESEMPLEO INVOLUNTARIO INDIVIDUAL|6543.02|5638.38|861.74|DESEMPLEO INVOLUNTARIO|32715.1|0|0
